Kode Kecamatan,Kecamatan,Kode Kelurahan,Kelurahan,Belum/Tidak Bekerja,Aparatur Pejabat Negara,Tenaga Pengajar,Wiraswasta,Pertanian dan Peternakan,Nelayan,Agama dan Kepercayaan,Pelajar dan Mahasiswa,Tenaga Kesehatan,Pensiunan,Pekerjaan Lainnya,,,,,
32.73.11,Regol,32.73.11.1001,Cigereleng,2029,360,108,4139,0,0,9,2605,51,221,2517,,,,,
32.73.11,Regol,32.73.11.1002,Ancol,1944,323,99,3926,1,0,4,2614,79,231,2405,,,,,
32.73.11,Regol,32.73.11.1003,Pungkur,1201,134,50,2674,2,0,5,1593,24,94,1720,,,,,
32.73.11,Regol,32.73.11.1004,Balong Gede,1375,148,46,3032,2,0,2,1731,24,62,1847,,,,,
32.73.11,Regol,32.73.11.1005,Ciseureuh,3152,354,101,5346,4,1,3,3733,25,172,3709,,,,,
32.73.11,Regol,32.73.11.1006,Ciateul,1160,330,57,2551,1,0,6,1720,23,121,1485,,,,,
32.73.11,Regol,32.73.11.1007,Pasirluyu,3249,281,95,5678,5,0,1,3725,26,154,3900,,,,,
32.73.12,Batununggal,32.73.12.1001,Gumuruh,3445,601,143,6398,5,0,0,4353,59,346,4159,,,,,
32.73.12,Batununggal,32.73.12.1002,Maleer,2896,337,117,5975,6,0,7,3981,17,221,3958,,,,,
32.73.12,Batununggal,32.73.12.1003,Cibangkong,3198,377,130,6293,1,0,2,4083,36,208,4035,,,,,
32.73.12,Batununggal,32.73.12.1004,Kacapiring,1526,294,54,3164,1,0,4,2034,41,175,1958,,,,,
32.73.12,Batununggal,32.73.12.1005,Kebon Waru,2538,284,73,5031,2,0,0,3372,20,165,3184,,,,,
32.73.12,Batununggal,32.73.12.1006,Kebon Gedang,1723,201,56,3336,0,0,0,2171,8,150,2191,,,,,
32.73.12,Batununggal,32.73.12.1007,Samoja,2493,331,54,4431,3,0,1,3006,25,90,2840,,,,,
32.73.12,Batununggal,32.73.12.1008,Binong,3300,307,122,6371,4,0,0,4335,15,193,4404,,,,,
32.73.13,Lengkong,32.73.13.1001,Cijagra,1913,665,120,3558,2,0,6,2948,140,368,2224,,,,,
32.73.13,Lengkong,32.73.13.1002,Lingkar Selatan,1702,1641,110,2177,2,0,2,2309,126,227,1839,,,,,
32.73.13,Lengkong,32.73.13.1003,Burangrang,1709,236,78,3502,1,0,3,2096,38,135,2155,,,,,
32.73.13,Lengkong,32.73.13.1004,Paledang,956,104,41,2275,5,0,3,1310,12,63,1414,,,,,
32.73.13,Lengkong,32.73.13.1005,Turangga,2274,872,200,4584,4,0,8,3946,189,597,2654,,,,,
32.73.13,Lengkong,32.73.13.1006,Malabar,1427,174,59,3025,1,1,2,1748,52,122,1858,,,,,
32.73.13,Lengkong,32.73.13.1007,Cikawao,1592,169,69,3162,2,0,3,1879,16,85,2011,,,,,
32.73.14,Cibeunying Kidul,32.73.14.1001,Padasuka,3566,391,148,5639,6,1,6,3621,36,189,3903,,,,,
32.73.14,Cibeunying Kidul,32.73.14.1002,Cikutra,4501,545,173,7589,2,1,6,4755,47,416,4982,,,,,
32.73.14,Cibeunying Kidul,32.73.14.1003,Cicadas,3213,1091,143,4646,4,0,0,3479,62,187,3303,,,,,
32.73.14,Cibeunying Kidul,32.73.14.1004,Sukamaju,2039,347,102,3849,1,0,1,2440,24,216,2302,,,,,
32.73.14,Cibeunying Kidul,32.73.14.1005,Sukapada,4628,657,231,7355,3,1,5,4855,55,327,4793,,,,,
32.73.14,Cibeunying Kidul,32.73.14.1006,Pasirlayung,4808,728,244,7342,6,0,7,4511,75,400,4525,,,,,
32.73.15,Bandung Kulon,32.73.15.1001,Cijerah,4938,352,185,8493,10,0,6,4981,47,266,5191,,,,,
32.73.15,Bandung Kulon,32.73.15.1002,Cibuntu,3738,230,153,6236,4,0,8,4018,22,93,4101,,,,,
32.73.15,Bandung Kulon,32.73.15.1003,Warung Muncang,4568,157,106,7180,12,0,9,4452,25,59,4985,,,,,
32.73.15,Bandung Kulon,32.73.15.1004,Caringin,1954,155,83,3131,1,0,9,1918,29,133,2047,,,,,
32.73.15,Bandung Kulon,32.73.15.1005,Cigondewah Kaler,4567,67,75,6584,26,1,22,4354,16,20,4784,,,,,
32.73.15,Bandung Kulon,32.73.15.1006,Gempol Sari,4311,834,286,7224,6,1,10,4675,74,393,4130,,,,,
32.73.15,Bandung Kulon,32.73.15.1007,Cigondewah Rahayu,2217,46,49,3440,2,0,3,2100,8,22,2684,,,,,
32.73.15,Bandung Kulon,32.73.15.1008,Cigondewah Kidul,1960,31,50,3096,6,1,7,1969,18,17,2351,,,,,
32.73.16,Kiaracondong,32.73.16.1001,Sukapura,5808,950,188,8753,9,0,0,5660,61,459,6172,,,,,
32.73.16,Kiaracondong,32.73.16.1002,Kebon Jayanti,2726,396,74,4090,7,0,2,2749,24,214,2976,,,,,
32.73.16,Kiaracondong,32.73.16.1003,Babakan Surabaya,4591,369,120,6717,11,0,4,4089,46,175,4657,,,,,
32.73.16,Kiaracondong,32.73.16.1004,Cicaheum,3698,401,139,5635,6,2,2,3697,48,147,3879,,,,,
32.73.16,Kiaracondong,32.73.16.1005,Babakan Sari,8202,974,259,12539,12,1,5,7891,82,498,8334,,,,,
32.73.16,Kiaracondong,32.73.16.1006,Kebon Kangkung,2599,338,89,3975,1,0,1,2710,24,184,2941,,,,,
32.73.17,Bojongloa Kidul,32.73.17.1001,Situsaeur,4322,304,181,7157,11,0,4,4675,55,182,4743,,,,,
32.73.17,Bojongloa Kidul,32.73.17.1002,Kebon Lega,4837,430,167,7814,14,0,10,5022,65,227,5475,,,,,
32.73.17,Bojongloa Kidul,32.73.17.1003,Cibaduyut,2650,86,28,4290,10,0,2,3020,17,24,3138,,,,,
32.73.17,Bojongloa Kidul,32.73.17.1004,Mekar Wangi,2247,67,47,3536,12,1,7,2338,33,32,2615,,,,,
32.73.17,Bojongloa Kidul,32.73.17.1005,Cibaduyut Kidul,2039,127,79,2943,4,0,5,2024,15,54,2166,,,,,
32.73.17,Bojongloa Kidul,32.73.17.1006,Cibaduyut Wetan,1736,57,67,2775,2,1,4,1949,33,28,1978,,,,,
32.73.18,Cibeunying Kaler,32.73.18.1001,Cihaurgeulis,2023,425,130,4363,3,0,5,3035,41,259,2443,,,,,
32.73.18,Cibeunying Kaler,32.73.18.1002,Sukaluyu,2663,624,181,5358,7,0,2,3658,76,384,3099,,,,,
32.73.18,Cibeunying Kaler,32.73.18.1003,Neglasari,1597,396,87,3067,1,0,4,2170,36,238,2061,,,,,
32.73.18,Cibeunying Kaler,32.73.18.1004,Cigadung,5817,1018,364,10478,7,2,4,6989,148,596,6788,,,,,
32.73.19,Sumur Bandung,32.73.19.1001,Braga,1054,86,29,2191,0,0,1,1329,22,38,1404,,,,,
32.73.19,Sumur Bandung,32.73.19.1002,Merdeka,1870,1707,94,2332,2,0,8,2921,134,267,1887,,,,,
32.73.19,Sumur Bandung,32.73.19.1003,Kebon Pisang,2292,192,80,4196,3,0,10,2903,45,92,2632,,,,,
32.73.19,Sumur Bandung,32.73.19.1004,Babakan Ciamis,1531,351,39,2703,2,0,54,2023,29,76,1693,,,,,
32.73.20,Antapani,32.73.20.1001,Antapani Kulon,2212,564,147,3378,5,0,3,2266,56,319,2189,,,,,
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,4888,1419,346,7367,9,0,7,4664,110,986,4341,,,,,
32.73.20,Antapani,32.73.20.1005,Antapani Kidul,4830,1579,353,7751,5,1,24,5317,195,1037,4619,,,,,
32.73.20,Antapani,32.73.20.1006,Antapani Wetan,3921,921,222,5861,8,1,4,4245,158,460,3742,,,,,
32.73.21,Bandung Kidul,32.73.21.1001,Batununggal,3542,645,143,6163,7,0,9,4497,96,342,4132,,,,,
32.73.21,Bandung Kidul,32.73.21.1002,Wates,1754,118,48,2754,12,0,2,1706,14,46,1754,,,,,
32.73.21,Bandung Kidul,32.73.21.1003,Mengger,2070,259,83,3594,16,1,4,2717,57,77,2379,,,,,
32.73.21,Bandung Kidul,32.73.21.1004,Kujangsari,4226,764,174,7071,10,0,2,5021,89,309,4711,,,,,
32.73.22,Buahbatu,32.73.22.1001,Sekejati,4947,1528,351,7701,14,0,3,5456,122,805,4614,,,,,
32.73.22,Buahbatu,32.73.22.1002,Margasari,8135,1700,369,12588,29,3,2,9003,142,831,8243,,,,,
32.73.22,Buahbatu,32.73.22.1003,Cijaura,5679,937,233,9101,16,0,0,6177,64,485,5890,,,,,
32.73.22,Buahbatu,32.73.22.1004,Jati Sari,1665,507,101,2899,2,0,9,2036,74,265,1708,,,,,
32.73.23,Rancasari,32.73.23.1001,Cipamokolan,4869,1248,249,8028,29,0,10,5422,139,514,4669,,,,,
32.73.23,Rancasari,32.73.23.1002,Derwati,3753,698,175,6211,47,0,3,4341,55,216,4173,,,,,
32.73.23,Rancasari,32.73.23.1003,Manjahlega,3945,1273,306,6713,7,0,4,4579,122,1113,3987,,,,,
32.73.23,Rancasari,32.73.28.1002,Mekar Mulya,4096,905,215,5845,27,1,4,4426,87,399,3817,,,,,
32.73.24,Arcamanik,32.73.24.1001,Sukamiskin,4024,1460,349,6417,11,1,11,4785,178,775,4106,,,,,
32.73.24,Arcamanik,32.73.24.1002,Cisaranten Bina Harapan,2527,411,102,3801,3,2,5,2588,26,193,2670,,,,,
32.73.24,Arcamanik,32.73.24.1003,Cisaranten Kulon,4990,1255,278,7925,17,1,5,5532,114,449,4970,,,,,
32.73.24,Arcamanik,32.73.24.1004,Cisaranten Endah,3959,903,214,6282,23,0,10,4550,84,321,4060,,,,,
32.73.25,Cibiru,32.73.25.1004,Palasari,4359,790,279,6765,47,0,7,4997,62,295,4694,,,,,
32.73.25,Cibiru,32.73.25.1003,Cipadung,4521,780,293,7111,24,0,2,5221,55,238,4931,,,,,
32.73.25,Cibiru,32.73.25.1002,Pasir Biru,3355,432,284,4928,22,0,0,3708,26,124,3577,,,,,
32.73.25,Cibiru,32.73.25.1001,Cisurupan,2986,329,124,4455,83,3,2,2988,21,132,3185,,,,,
32.73.26,Ujungberung,32.73.26.1003,Pasir Endah,3570,843,203,5078,12,1,7,3594,65,476,3325,,,,,
32.73.26,Ujungberung,32.73.26.1004,Cigending,3668,621,185,5103,13,0,7,3526,54,271,3526,,,,,
